0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-10272.0,-12912.0,6200.0,6108.0,2257.0,2388.0,-8376.0,-1768.0,20908.0,6511.0,10338.0,-3370.0,19368.0,-12120.0,8056.0,-5196.0,4956.0,2595.0
-11508.0,-12428.0,6820.0,-278.0,3902.0,682.0,-5736.0,-5716.0,16844.0,3560.0,8161.0,-1959.0,14012.0,-11584.0,7428.0,-7645.0,2901.0,4025.0
-11620.0,-11388.0,8772.0,-1521.0,4454.0,2324.0,-8972.0,-2296.0,12068.0,5502.0,6805.0,-761.0,11256.0,-13912.0,5228.0,-7086.0,1391.0,3005.0
-11160.0,-7636.0,9860.0,-1729.0,2674.0,2592.0,-12044.0,4924.0,12716.0,5620.0,3413.0,-2382.0,10440.0,-14444.0,6732.0,-9663.0,2445.0,-2007.0
-11196.0,-3824.0,9984.0,261.0,5628.0,1420.0,-9868.0,6656.0,16340.0,-397.0,1346.0,-3434.0,8776.0,-12056.0,11512.0,-8018.0,1003.0,-4035.0
-11676.0,-3976.0,11032.0,-727.0,6535.0,-1375.0,-11248.0,6852.0,11612.0,-3965.0,645.0,-3649.0,8108.0,-15316.0,8268.0,-6323.0,-1245.0,-5637.0
-10648.0,-3980.0,11108.0,-2415.0,5661.0,-3273.0,-12300.0,8756.0,11856.0,-4003.0,-331.0,-5550.0,8768.0,-15940.0,9412.0,-6720.0,-660.0,-11504.0
-9752.0,-5636.0,11360.0,-3731.0,6719.0,-4615.0,-9564.0,7828.0,15232.0,-5744.0,-1407.0,-7322.0,8328.0,-14040.0,7192.0,-6405.0,-874.0,-12853.0
-9120.0,-6164.0,10196.0,-4938.0,7924.0,-6615.0,-8840.0,6000.0,14644.0,-8470.0,-2327.0,-9060.0,8824.0,-12712.0,5728.0,-7112.0,-2036.0,-13141.0
-8732.0,-8856.0,8212.0,-4391.0,9094.0,-6580.0,-6476.0,620.0,12364.0,-7399.0,-2045.0,-10667.0,8196.0,-7636.0,3600.0,-8174.0,-745.0,-11761.0
-9988.0,-9812.0,6832.0,-2045.0,9497.0,-5214.0,-3916.0,-3080.0,13592.0,-6154.0,-1417.0,-10451.0,10852.0,-6928.0,4324.0,-8849.0,223.0,-9950.0
-9148.0,-10392.0,4624.0,-874.0,9092.0,-5338.0,-5260.0,-3172.0,13988.0,-5050.0,-265.0,-9152.0,14580.0,-7748.0,6452.0,-8926.0,348.0,-10110.0
-9508.0,-10912.0,3772.0,-4717.0,8231.0,-6758.0,-5560.0,-1468.0,17840.0,-5710.0,176.0,-9540.0,16432.0,-8200.0,7608.0,-11048.0,381.0,-12443.0
-7848.0,-11652.0,4404.0,-5270.0,8659.0,-6290.0,-4812.0,-3020.0,18404.0,-9506.0,798.0,-9901.0,16424.0,-8052.0,4260.0,-11299.0,-2634.0,-13553.0
-9040.0,-13372.0,2736.0,-4954.0,8911.0,-5552.0,-5164.0,-5960.0,14736.0,-10685.0,503.0,-10589.0,15952.0,-4604.0,3080.0,-10817.0,-3525.0,-13214.0
-9172.0,-15624.0,1576.0,-3730.0,10962.0,-4589.0,-2424.0,-11868.0,12928.0,-10022.0,-272.0,-10013.0,14028.0,-1944.0,-636.0,-11371.0,147.0,-12913.0
-9124.0,-16340.0,992.0,-2063.0,9460.0,-2441.0,-1216.0,-14868.0,12792.0,-5426.0,2128.0,-8000.0,13572.0,904.0,16.0,-11060.0,2466.0,-8929.0
-9796.0,-16372.0,244.0,-209.0,7285.0,-870.0,-2048.0,-14472.0,13332.0,-2218.0,4433.0,-5667.0,16532.0,-860.0,2796.0,-10925.0,1653.0,-3839.0
-9356.0,-15168.0,-296.0,-554.0,5379.0,-59.0,-4288.0,-9696.0,17208.0,-2690.0,4565.0,-3799.0,19032.0,-4084.0,2908.0,-8018.0,-59.0,-2631.0
-9044.0,-14100.0,316.0,-1572.0,5689.0,447.0,-6044.0,-8480.0,15224.0,-4084.0,4750.0,-3747.0,19192.0,-4216.0,4332.0,-8379.0,-679.0,-3317.0
-9496.0,-13456.0,408.0,-3467.0,5368.0,23.0,-5764.0,-8584.0,14900.0,-5322.0,3780.0,-3447.0,18172.0,-5488.0,2252.0,-8043.0,-1362.0,-4488.0
-9496.0,-13936.0,848.0,-4344.0,5485.0,191.0,-5676.0,-8844.0,14276.0,-6157.0,3556.0,-3480.0,15748.0,-3980.0,704.0,-6306.0,-1379.0,-4947.0
-10076.0,-13388.0,1148.0,-3056.0,5463.0,819.0,-5056.0,-10400.0,12772.0,-6254.0,3888.0,-2606.0,16100.0,-3920.0,3040.0,-6945.0,-908.0,-3938.0
-10584.0,-12984.0,1244.0,-3091.0,3636.0,571.0,-5692.0,-8760.0,13652.0,-5277.0,4694.0,-1499.0,15116.0,-4924.0,972.0,-3176.0,-2738.0,-2779.0
-9584.0,-13212.0,1676.0,-2273.0,3091.0,1213.0,-6044.0,-8320.0,13580.0,-5740.0,5704.0,-1638.0,15556.0,-5096.0,560.0,-3624.0,-2328.0,-1947.0
